Documentos,Aceitação,Justificativa
D65880,Rejeitado,Nenhum conteúdo relevante
D6620,Rejeitado,"Documento trata exclusivamente de regulamentação portuária marítima, sem qualquer menção a infraestrutura aérea, UAM ou parâmetros de uso do solo aplicáveis ao planejamento territorial urbano para vertiportos."
D66622,Rejeitado,Nenhum conteúdo relevante
D6686,Aceito,"O documento estabelece sanções e procedimentos ambientais federais obrigatórios para obras e atividades sujeitas a licenciamento, incluindo embargo e demolição, que se aplicam diretamente ao planejamento territorial de infraestrutura UAM."
D6695,Aceito,"Estabelece regras de proteção ambiental e regularização de áreas que impactam diretamente o planejamento territorial, sendo obrigatório para implantação de infraestrutura urbana de grande porte como vertiportos UAM."
D6780,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
D68153,Rejeitado,Nenhum conteúdo relevante
D6848,Aceito,"Estabelecem metodologias obrigatórias para avaliação e compensação de impactos ambientais no licenciamento, aplicáveis ao planejamento de infraestrutura UAM por serem empreendimentos de grande porte sujeitos a essas normas federais."
D68678,Rejeitado,Nenhum conteúdo relevante
D6961,Rejeitado,Nenhum conteúdo relevante
D707,Aceito,"O documento estabelece alterações na comissão de zoneamento ecológico-econômico nacional, criando limitações administrativas obrigatórias para uso do solo e proteção ambiental que afetam diretamente o planejamento de infraestrutura UAM."
D7107,Rejeitado,Nenhum conteúdo relevante
D7130,Aceito,"Estabelece regras de redução de reserva legal aplicáveis ao licenciamento ambiental de infraestrutura UAM, constituindo limitação administrativa obrigatória para implantação de empreendimentos de grande porte no território."
D7172,Rejeitado,Nenhum conteúdo relevante
D7341,Aceito,"O documento estabelece parâmetros obrigatórios de ordenamento territorial, definições de áreas urbanas e regras de regularização fundiária que impactam diretamente o planejamento de infraestrutura urbana de grande porte, incluindo possíveis instalações UAM."
D73421,Rejeitado,Nenhum conteúdo relevante
D73600,Rejeitado,Nenhum conteúdo relevante
D7378,Aceito,"O documento estabelece diretrizes obrigatórias de zoneamento ecológico-econômico e ordenamento territorial que condicionam o planejamento de qualquer infraestrutura urbana de grande porte, incluindo potencialmente a UAM, através de limitações administrativas ao uso do solo e parâmetros ambientais."
D73857,Rejeitado,Nenhum conteúdo relevante
D74333,Rejeitado,Nenhum conteúdo relevante
D7496,Rejeitado,Nenhum conteúdo relevante
D75374,Rejeitado,Nenhum conteúdo relevante
D75561,Rejeitado,Nenhum conteúdo relevante
D75752,Rejeitado,Nenhum conteúdo relevante
D77355,Rejeitado,Nenhum conteúdo relevante
D77406,Rejeitado,Nenhum conteúdo relevante
D7747,Aceito,"Estabelece regras obrigatórias de gestão territorial e uso do solo em terras indígenas, criando limitações administrativas que impactam diretamente o planejamento de infraestrutura urbana de grande porte, incluindo possíveis implantações UAM."
D77565,Rejeitado,Nenhum conteúdo relevante
D78276,Rejeitado,Nenhum conteúdo relevante
D7830,Rejeitado,Nenhum conteúdo relevante
D78774,Rejeitado,Nenhum conteúdo relevante
D7888,Aceito,"Estabelece exigência de conteúdo nacional obrigatório para projetos de mobilidade urbana do PAC, incluindo serviços de planejamento urbano, afetando diretamente o planejamento territorial de infraestruturas UAM."
D79,Rejeitado,Nenhum conteúdo relevante
D79031,Rejeitado,Nenhum conteúdo relevante
D7957,Rejeitado,Nenhum conteúdo relevante
D7994,Rejeitado,Nenhum conteúdo relevante
D80282,Rejeitado,Nenhum conteúdo relevante
D81055,Rejeitado,Nenhum conteúdo relevante
D81240,Rejeitado,Nenhum conteúdo relevante
D8127,Rejeitado,Nenhum conteúdo relevante
D83188,Rejeitado,Nenhum conteúdo relevante
D83355,Rejeitado,Nenhum conteúdo relevante
D83556,Rejeitado,Nenhum conteúdo relevante
D84017,Aceito,"Estabelece restrições obrigatórias de zoneamento e uso do solo em Parques Nacionais que impedem implantação de infraestrutura UAM, afetando diretamente o planejamento territorial urbano nestas áreas protegidas."
D84049,Rejeitado,Nenhum conteúdo relevante
D8420,Rejeitado,Nenhum conteúdo relevante
D8424,Rejeitado,Nenhum conteúdo relevante
D84640,Rejeitado,Nenhum conteúdo relevante
D84853,Rejeitado,Nenhum conteúdo relevante
D84899,Rejeitado,Nenhum conteúdo relevante
D85916,Aceito,"O documento estabelece diretrizes obrigatórias para planejamento territorial em regiões metropolitanas, criando limitações administrativas ao uso do solo que afetam diretamente a implantação de infraestrutura UAM."
D86782,Rejeitado,Nenhum conteúdo relevante
D8682,Rejeitado,Nenhum conteúdo relevante
D86889,Rejeitado,Nenhum conteúdo relevante
D87561,Aceito,"O documento estabelece macrozoneamento e restrições ambientais obrigatórias que afetam diretamente o planejamento territorial para implantação de infraestrutura UAM, incluindo limitações ao uso do solo que devem ser observadas em qualquer projeto de grande porte."
D8759,Rejeitado,Nenhum conteúdo relevante
D87700,Rejeitado,Nenhum conteúdo relevante
D8775,Aceito,"O documento estabelece normas de zoneamento e restrições ambientais obrigatórias para qualquer infraestrutura urbana, incluindo potencialmente vertiportos e operações UAM na Área de Proteção Ambiental de Paraty/RJ."
D88351,Aceito,"Os decretos estabelecem obrigações obrigatórias de licenciamento ambiental, proteção de áreas restritas e normas do CONAMA que impactam diretamente o planejamento e implantação de infraestrutura UAM, enquadrando-se no critério b de limitações administrativas ao uso do solo."
D88421,Aceito,"A Parte 1 cria APA com restrições a obras e edificações que afetam diretamente o licenciamento de infraestrutura UAM, estabelecendo limitações administrativas ao uso do solo que devem ser observadas no planejamento territorial urbano."
D88940,Aceito,"Estabelece restrições ambientais e zoneamento que impõem limitações obrigatórias ao uso do solo, afetando diretamente o planejamento e implantação de infraestrutura urbana de grande porte, incluindo possíveis instalações UAM."
D89242,Aceito,"O documento estabelece delimitação territorial e restrições ambientais obrigatórias para implantação de qualquer infraestrutura, incluindo UAM, através da criação e zoneamento de APA com força legal federal."
D89396,Rejeitado,Nenhum conteúdo relevante
D89425,Rejeitado,Nenhum conteúdo relevante
D89431,Aceito,"O documento estabelece zoneamento de ruído com restrições obrigatórias de uso do solo em áreas próximas a aeródromos, diretamente aplicável ao planejamento territorial para infraestrutura UAM, que deve observar essas limitações administrativas."
D89496,Aceito,"A Parte 2 estabelece proteção ambiental obrigatória para recursos hídricos e solos, proibindo atividades poluidoras e obras causadoras de danos ambientais, aplicável ao licenciamento de infraestruturas urbanas de grande porte como vertiportos UAM."
D89532,Aceito,"Estabelece infrações ambientais obrigatórias que impactam diretamente o planejamento territorial para infraestruturas UAM, exigindo conformidade com normas de proteção ambiental e resoluções do CONAMA."
D90219,Rejeitado,Nenhum conteúdo relevante
D90225,Aceito,"O documento estabelece Área de Proteção Ambiental com restrições obrigatórias ao uso do solo e exigência de autorização prévia para projetos de urbanização, impactando diretamente o planejamento territorial para infraestrutura UAM."
D90347,Aceito,"O documento estabelece restrições ambientais obrigatórias e zoneamento em APA que impactam diretamente o planejamento territorial para implantação de infraestrutura UAM, exigindo autorização prévia para obras que causem alterações ambientais."
D90379,Aceito,"Estabelece restrições ambientais e limitações ao uso do solo que afetam diretamente o planejamento de infraestrutura urbana de grande porte, incluindo possíveis instalações UAM, exigindo autorizações prévias em áreas protegidas."
D90697,Rejeitado,Nenhum conteúdo relevante
D9076,Rejeitado,Nenhum conteúdo relevante
D90883,Aceito,"O documento estabelece restrições ambientais, zoneamento e limitações de uso do solo em área protegida, que são obrigatórias para o planejamento de qualquer infraestrutura urbana de grande porte, incluindo UAM."
D91304,Aceito,"O documento estabelece restrições ambientais obrigatórias e delimitação territorial na APA Serra da Mantiqueira, criando limitações administrativas ao uso do solo que afetam diretamente o planejamento e implantação de qualquer infraestrutura urbana de grande porte, incluindo UAM."
D9154,Rejeitado,Nenhum conteúdo relevante
D91892,Aceito,"O documento estabelece restrições de uso do solo em área de proteção ambiental que afetam diretamente a implantação de infraestrutura urbana de grande porte, incluindo possíveis vertiportos e estruturas UAM, por ser norma federal obrigatória."
D92350,Rejeitado,Nenhum conteúdo relevante
D924,Aceito,"Estabelece restrições ambientais obrigatórias e necessidade de licenciamento do IBAMA para implantação de projetos de urbanização e infraestrutura em APA, afetando diretamente o planejamento territorial de qualquer infraestrutura UAM."
D92470,Rejeitado,Nenhum conteúdo relevante
D92576,Rejeitado,Nenhum conteúdo relevante
D92755,Aceito,"O documento estabelece Área de Proteção Ambiental com restrições obrigatórias a atividades que causem alterações ecológicas, aplicáveis ao planejamento territorial urbano para infraestrutura UAM, conforme critério b de limitações administrativas ao uso do solo."
D9306,Rejeitado,Nenhum conteúdo relevante
D93079,Rejeitado,Nenhum conteúdo relevante
D9312,Rejeitado,Nenhum conteúdo relevante
D9313,Aceito,"O documento estabelece regras para unidades de conservação marinhas com disposições sobre transporte aéreo e limitações ambientais que afetam diretamente o planejamento de infraestrutura UAM em áreas costeiras e marinhas, criando restrições obrigatórias ao uso do solo."
D93134,Rejeitado,Nenhum conteúdo relevante
D9337,Aceito,"O documento estabelece restrições ambientais obrigatórias e delimitação territorial com zoneamento específico que afetam diretamente a implantação de infraestrutura urbana de grande porte, incluindo possíveis instalações UAM."
D93418,Rejeitado,Nenhum conteúdo relevante
D93630,Rejeitado,Nenhum conteúdo relevante
D93945,Rejeitado,Nenhum conteúdo relevante
D9402,Aceito,"O documento estabelece unidades de conservação com restrições ambientais obrigatórias que limitam o uso do solo e afetam diretamente a implantação de qualquer infraestrutura urbana de grande porte, incluindo projetos UAM."
D94764,Aceito,"O documento estabelece regras ambientais obrigatórias para correção de degradação, aplicáveis ao planejamento de infraestrutura UAM que necessita cumprir parâmetros ambientais em seu licenciamento e implantação territorial."
D94775,Rejeitado,Nenhum conteúdo relevante
D95247,Rejeitado,Nenhum conteúdo relevante
D95477,Rejeitado,Nenhum conteúdo relevante
D9557,Rejeitado,Nenhum conteúdo relevante
D9583,Rejeitado,Nenhum conteúdo relevante
D9586,Rejeitado,Nenhum conteúdo relevante
D95922,Aceito,"O documento estabelece zoneamento e delimitação de áreas com restrições específicas de uso do solo e proteção ambiental que obrigatoriamente devem ser observadas no planejamento de qualquer infraestrutura urbana de grande porte, incluindo a UAM."
D96150,Rejeitado,Nenhum conteúdo relevante
D96652,Rejeitado,Nenhum conteúdo relevante
D96693,Aceito,"Estabelece restrições ambientais obrigatórias e limitações administrativas ao uso do solo em áreas protegidas, que devem ser observadas no planejamento de qualquer infraestrutura urbana de grande porte, incluindo UAM."
D97558,Rejeitado,Nenhum conteúdo relevante
D97718,Aceito,"Decretos federais que estabelecem Áreas de Proteção Ambiental com restrições de uso do solo são obrigatórios para planejamento territorial urbano, incluindo infraestrutura UAM, pois impõem limitações administrativas e ambientais que afetam a implantação de qualquer projeto de grande porte."
D97802,Rejeitado,Nenhum conteúdo relevante
D97822,Aceito,"O documento estabelece sistema de monitoramento ambiental que impõe obrigações legais para proteção ambiental e ordenação territorial, diretamente aplicável ao planejamento de infraestrutura UAM que deve observar essas limitações administrativas."
D97885,Rejeitado,Nenhum conteúdo relevante
D9791,Rejeitado,Nenhum conteúdo relevante
D9806,Rejeitado,Nenhum conteúdo relevante
D9809,Rejeitado,Nenhum conteúdo relevante
D98109,Rejeitado,Nenhum conteúdo relevante
D98182,Aceito,"O documento estabelece restrições obrigatórias de uso do solo e zoneamento ambiental que afetam diretamente o planejamento territorial para implantação de infraestrutura UAM, incluindo proibições de edificações e urbanização em áreas protegidas."
D98184,Rejeitado,Nenhum conteúdo relevante
D9841,Rejeitado,Nenhum conteúdo relevante
D98864,Aceito,"Estabelece restrições ambientais obrigatórias para implantação de infraestrutura na área delimitada, criando limitações administrativas ao uso do solo que devem ser observadas no planejamento de qualquer infraestrutura urbana de grande porte, incluindo UAM."
D98881,Aceito,"Estabelece restrições ambientais e de uso do solo que impactam diretamente o planejamento territorial, exigindo autorização prévia do Ibama para obras de urbanização e proibindo edificações em áreas protegidas, afetando a implantação de infraestrutura UAM."
D98891,Aceito,"O documento estabelece restrições ambientais e limitações administrativas ao uso do solo que são obrigatórias para qualquer projeto de infraestrutura urbana de grande porte, incluindo vertiportos e instalações UAM."
D99193,Rejeitado,Nenhum conteúdo relevante
D99246,Rejeitado,Nenhum conteúdo relevante
D99274,Aceito,"O documento estabelece regras obrigatórias de licenciamento ambiental, estudos de impacto e proteção de áreas sensíveis que afetam diretamente o planejamento e implantação de infraestrutura urbana de grande porte, incluindo possíveis vertiportos e operações UAM."
D99278,Aceito,"O documento estabelece restrições ambientais e zoneamento que impõem limitações obrigatórias ao uso do solo, afetando diretamente o planejamento e implantação de infraestrutura urbana de grande porte, incluindo possíveis instalações UAM."
